"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
338.121,354.121,333.121,367.121,350.121,369.121,334.121,372.121,365.121,386.187428619087,356.187428619087,364.187428619087,361.187428619087,379.187428619087,336.187428619087,311.187428619087,357.187428619087,312.187428619087,356.519454354913,300.519454354913,339.519454354913,293.519454354913,363.519454354913,359.519454354913,379.519454354913,376.519454354913,381.16968688292,373.16968688292,367.16968688292,358.16968688292,335.16968688292,345.16968688292,342.16968688292,316.16968688292,373.16968688292,306.84,342.84,364.84,334.84,300.84,347.84,296.84,369.84,371.84,366.84
338.346,354.346,333.346,367.346,350.346,369.346,334.346,372.346,365.346,386.433428619087,356.433428619087,364.433428619087,361.433428619087,379.433428619087,336.433428619087,311.433428619087,357.433428619087,312.433428619087,356.781454354913,300.781454354913,339.781454354913,293.781454354913,363.781454354913,359.781454354913,379.781454354913,376.781454354913,381.53668688292,373.53668688292,367.53668688292,358.53668688292,335.53668688292,345.53668688292,342.53668688292,316.53668688292,373.53668688292,307.154,343.154,365.154,335.154,301.154,348.154,297.154,370.154,372.154,367.154
338.747,354.747,333.747,367.747,350.747,369.747,334.747,372.747,365.747,386.572428619087,356.572428619087,364.572428619087,361.572428619087,379.572428619087,336.572428619087,311.572428619087,357.572428619087,312.572428619087,356.953454354913,300.953454354913,339.953454354913,293.953454354913,363.953454354913,359.953454354913,379.953454354913,376.953454354913,381.835757457661,373.835757457661,367.835757457661,358.835757457661,335.835757457661,345.835757457661,342.835757457661,316.835757457661,373.835757457661,307.518862701547,343.518862701547,365.518862701547,335.518862701547,301.518862701547,348.518862701547,297.518862701547,370.518862701547,372.518862701547,367.518862701547
339.115,355.115,334.115,368.115,351.115,370.115,335.115,373.115,366.115,386.819428619087,356.819428619087,364.819428619087,361.819428619087,379.819428619087,336.819428619087,311.819428619087,357.819428619087,312.819428619087,357.123454354913,301.123454354913,340.123454354913,294.123454354913,364.123454354913,360.123454354913,380.123454354913,377.123454354913,381.835757457661,373.835757457661,367.835757457661,358.835757457661,335.835757457661,345.835757457661,342.835757457661,316.835757457661,373.835757457661,307.518862701547,343.518862701547,365.518862701547,335.518862701547,301.518862701547,348.518862701547,297.518862701547,370.518862701547,372.518862701547,367.518862701547
339.534,355.534,334.534,368.534,351.534,370.534,335.534,373.534,366.534,387.045428619087,357.045428619087,365.045428619087,362.045428619087,380.045428619087,337.045428619087,312.045428619087,358.045428619087,313.045428619087,357.438454354913,301.438454354913,340.438454354913,294.438454354913,364.438454354913,360.438454354913,380.438454354913,377.438454354913,381.847391467412,373.847391467412,367.847391467412,358.847391467412,335.847391467412,345.847391467412,342.847391467412,316.847391467412,373.847391467412,307.528920796202,343.528920796202,365.528920796202,335.528920796202,301.528920796202,348.528920796202,297.528920796202,370.528920796202,372.528920796202,367.528920796202
339.801424641792,355.801424641792,334.801424641792,368.801424641792,351.801424641792,370.801424641792,335.801424641792,373.801424641792,366.801424641792,387.324837108465,357.324837108465,365.324837108465,362.324837108465,380.324837108465,337.324837108465,312.324837108465,358.324837108465,313.324837108465,357.753454354913,301.753454354913,340.753454354913,294.753454354913,364.753454354913,360.753454354913,380.753454354913,377.753454354913,382.094391467412,374.094391467412,368.094391467412,359.094391467412,336.094391467412,346.094391467412,343.094391467412,317.094391467412,374.094391467412,307.766201693372,343.766201693372,365.766201693372,335.766201693372,301.766201693372,348.766201693372,297.766201693372,370.766201693372,372.766201693372,367.766201693372
339.801424641792,355.801424641792,334.801424641792,368.801424641792,351.801424641792,370.801424641792,335.801424641792,373.801424641792,366.801424641792,387.324837108465,357.324837108465,365.324837108465,362.324837108465,380.324837108465,337.324837108465,312.324837108465,358.324837108465,313.324837108465,358.057454354913,302.057454354913,341.057454354913,295.057454354913,365.057454354913,361.057454354913,381.057454354913,378.057454354913,382.438391467412,374.438391467412,368.438391467412,359.438391467412,336.438391467412,346.438391467412,343.438391467412,317.438391467412,374.438391467412,307.766201693372,343.766201693372,365.766201693372,335.766201693372,301.766201693372,348.766201693372,297.766201693372,370.766201693372,372.766201693372,367.766201693372
339.813118672829,355.813118672829,334.813118672829,368.813118672829,351.813118672829,370.813118672829,335.813118672829,373.813118672829,366.813118672829,387.334824746687,357.334824746687,365.334824746687,362.334824746687,380.334824746687,337.334824746687,312.334824746687,358.334824746687,313.334824746687,358.362454354913,302.362454354913,341.362454354913,295.362454354913,365.362454354913,361.362454354913,381.362454354913,378.362454354913,382.587391467412,374.587391467412,368.587391467412,359.587391467412,336.587391467412,346.587391467412,343.587391467412,317.587391467412,374.587391467412,307.776369708789,343.776369708789,365.776369708789,335.776369708789,301.776369708789,348.776369708789,297.776369708789,370.776369708789,372.776369708789,367.776369708789
340.049118672829,356.049118672829,335.049118672829,369.049118672829,352.049118672829,371.049118672829,336.049118672829,374.049118672829,367.049118672829,387.603824746687,357.603824746687,365.603824746687,362.603824746687,380.603824746687,337.603824746687,312.603824746687,358.603824746687,313.603824746687,358.666454354913,302.666454354913,341.666454354913,295.666454354913,365.666454354913,361.666454354913,381.666454354913,378.666454354913,382.853391467412,374.853391467412,368.853391467412,359.853391467412,336.853391467412,346.853391467412,343.853391467412,317.853391467412,374.853391467412,308.195369708789,344.195369708789,366.195369708789,336.195369708789,302.195369708789,349.195369708789,298.195369708789,371.195369708789,373.195369708789,368.195369708789
340.290118672829,356.290118672829,335.290118672829,369.290118672829,352.290118672829,371.290118672829,336.290118672829,374.290118672829,367.290118672829,387.864824746687,357.864824746687,365.864824746687,362.864824746687,380.864824746687,337.864824746687,312.864824746687,358.864824746687,313.864824746687,358.980454354913,302.980454354913,341.980454354913,295.980454354913,365.980454354913,361.980454354913,381.980454354913,378.980454354913,383.105391467412,375.105391467412,369.105391467412,360.105391467412,337.105391467412,347.105391467412,344.105391467412,318.105391467412,375.105391467412,308.598369708789,344.598369708789,366.598369708789,336.598369708789,302.598369708789,349.598369708789,298.598369708789,371.598369708789,373.598369708789,368.598369708789
340.543118672829,356.543118672829,335.543118672829,369.543118672829,352.543118672829,371.543118672829,336.543118672829,374.543118672829,367.543118672829,388.134824746687,358.134824746687,366.134824746687,363.134824746687,381.134824746687,338.134824746687,313.134824746687,359.134824746687,314.134824746687,359.285454354913,303.285454354913,342.285454354913,296.285454354913,366.285454354913,362.285454354913,382.285454354913,379.285454354913,383.356391467412,375.356391467412,369.356391467412,360.356391467412,337.356391467412,347.356391467412,344.356391467412,318.356391467412,375.356391467412,308.964369708789,344.964369708789,366.964369708789,336.964369708789,302.964369708789,349.964369708789,298.964369708789,371.964369708789,373.964369708789,368.964369708789
